inningsId,matchId,inningsNumber,teamName
114234_1,114234,1,"Oval Invincibles Women"
114234_2,114234,2,"London Spirit Women"
114242_1,114242,1,"Manchester Originals Women"
114242_2,114242,2,"Northern Superchargers Women"
131218_1,131218,1,"Germany Women"
131218_2,131218,2,"Italy Women"
131224_1,131224,1,"Netherlands Women"
131224_2,131224,2,"Ireland Women"
131229_1,131229,1,"Netherlands Women"
131229_2,131229,2,"Germany Women"
131235_1,131235,1,"Ireland Women"
131235_2,131235,2,"Italy Women"
131515_1,131515,1,"Nigeria Women"
131515_2,131515,2,"Sierra Leone Women"
131526_1,131526,1,"Kenya Women"
131526_2,131526,2,"Rwanda Women"
131532_1,131532,1,"Zimbabwe Women"
131532_2,131532,2,"Namibia Women"
131543_1,131543,1,"Tanzania Women"
131543_2,131543,2,"Uganda Women"
132687_1,132687,1,"Finland Women"
132687_2,132687,2,"Germany Women"
132698_1,132698,1,"Sweden Women"
132698_2,132698,2,"Norway Women"
132703_1,132703,1,"Finland Women"
132703_2,132703,2,"Norway Women"
132709_1,132709,1,"Sweden Women"
132709_2,132709,2,"Denmark Women"
132714_1,132714,1,"Finland Women"
132714_2,132714,2,"Denmark Women"
132720_1,132720,1,"Germany Women"
132720_2,132720,2,"Norway Women"
132731_1,132731,1,"Norway Women"
132731_2,132731,2,"Denmark Women"
132736_1,132736,1,"Germany Women"
132736_2,132736,2,"Sweden Women"
132742_1,132742,1,"Sweden Women"
132742_2,132742,2,"Finland Women"
132747_1,132747,1,"Germany Women"
132747_2,132747,2,"Denmark Women"
